iso3,year,gdp_per_capita
TUR,2000,4192.44316738494
TUV,2000,1579.41906275542
TZA,2000,401.698150634766
UGA,2000,258.050338731086
UKR,2000,653.294311523438
UMC,2000,1844.94204356869
URY,2000,6987.70098766257
USA,2000,36329.9702595751
UZB,2000,555.149231099186
VCT,2000,3768.95536604022
VEN,2000,4776.2816763938
VNM,2000,404.029784055118
VUT,2000,1460.23817692229
WLD,2000,5494.39887178018
WSM,2000,1424.75240002471
YEM,2000,493.235182634814
ZAF,2000,3217.84693448467
ZMB,2000,359.429500988221
ZWE,2000,562.556900384332
ABW,2001,20740.1325828172
AFE,2001,626.169148423877
AFG,2001,138.706821676113
AFW,2001,530.653167271222
AGO,2001,533.586202412447
ALB,2001,1281.6598256178
AND,2001,23511.2951475737
ARB,2001,2536.711964719
ARE,2001,27745.1708087672
ARG,2001,7141.47507662826
ARM,2001,659.588988535629
ATG,2001,11535.7742945854
AUS,2001,19695.7297379144
AUT,2001,24430.495982841
AZE,2001,703.670998584686
BDI,2001,132.159554541932
BEL,2001,23015.0712632462
BEN,2001,492.401499509072
BFA,2001,259.485223380436
BGD,2001,394.65641001891
BGR,2001,1770.90704918691
BHR,2001,13573.2339887597
BHS,2001,25371.9237667614
BIH,2001,1387.89365131544
BLR,2001,1244.37318523431
BLZ,2001,4721.81625660785
BMU,2001,59490.2452034202
BOL,2001,930.168227214313
BRA,2001,3176.28935747524
BRB,2001,11639.5160522054
BRN,2001,18287.8271687345
BTN,2001,812.238210772056
BWA,2001,3206.07123689853
CAF,2001,237.951702544735
CAN,2001,23822.096210932
CEB,2001,4360.49747680825
CHE,2001,39638.7911061864
CHI,2001,41873.7406146127
CHL,2001,4563.5952986689
CHN,2001,1053.11231442789
CIV,2001,924.727294962066
CMR,2001,715.470296470585
COD,2001,142.678142604412
COG,2001,854.598314408095
COL,2001,2472.99084035833
COM,2001,691.699908770798
CPV,2001,1223.33055331575
CRI,2001,3985.12984506207
CSS,2001,6628.93694828703
CUB,2001,2842.96704310394
CUW,2001,16609.8454536485
CYP,2001,14821.44921875
CZE,2001,6669.07494847497
DEU,2001,23878.3641471651
DJI,2001,742.133791107063
DMA,2001,4981.89584851956
DNK,2001,30768.4775471112
DOM,2001,2935.89367312668
DZA,2001,1896.30020878013
EAP,2001,1006.00155273718
EAR,2001,1310.87699433468
EAS,2001,3765.76496640633
ECA,2001,1526.97978969399
ECS,2001,11749.4971365928
ECU,2001,1791.30359685037
EGY,2001,1295.1374184163
EMU,2001,20289.8293666247
ERI,2001,325.409161513593
ESP,2001,15368.2337984435
EST,2001,4502.66614992392
ETH,2001,118.457204255261
EUU,2001,17230.6503712627
FCS,2001,718.682953740052
FIN,2001,24965.202996776
FJI,2001,1944.997414609
FRA,2001,22331.7948343036
FRO,2001,24879.7729617864
FSM,2001,2144.5369999555
GAB,2001,3835.75718279727
GBR,2001,27906.5695029641
GEO,2001,801.98383707929
GHA,2001,263.542156494853
GIN,2001,483.085120214741
GMB,2001,459.803068381399
GNB,2001,327.138431972397
GNQ,2001,1948.61145907844
GRC,2001,12156.9572824221
